code;pairCode;name;price;priceRatio;standardPrice;purchasePrice;purchasePriceVatRate;purchasePriceIncludingVat;actionPrice;maxDiscount;
"103770";"486";"SET = prút KINETIC Jawbreaker CT + navijak + šnúra";"87,11";"1";"87,11";"38,95";"23";"1";"87,11";;
"39983";"487";"Peračník DELPHIN Atoma";"2,10";"1";"2,10";"1,06";"23";"1";"1,79";"25";
"39984";"487";"Peračník DELPHIN Atoma";"2,90";"1";"2,90";"1,48";"23";"1";"2,47";"25";
"69745";;"Kukurica CarpZoom Premium Maize, Čokoláda & Pomaranč";"3,60";"1";"3,60";"2,58";"23";"1";"3,60";;
"92167";;"Multiplikátor DELPHIN Runix";"95,95";"1";"95,95";"34,43";"23";"1";"81,56";"25";
"65598";"488";"Naviazané potápavé pelety SPORTS Kaprí sen Nuggets";"3,06";"1";"3,06";"1,82";"23";"1";"3,06";;
"65599";"488";"Naviazané potápavé pelety SPORTS Kaprí sen Nuggets";"3,06";"1";"3,06";"1,82";"23";"1";"3,06";;
"65600";"488";"Naviazané potápavé pelety SPORTS Kaprí sen Nuggets";"3,06";"1";"3,06";"1,82";"23";"1";"3,06";;
"65601";"488";"Naviazané potápavé pelety SPORTS Kaprí sen Nuggets";"3,06";"1";"3,06";"1,82";"23";"1";"3,06";;
"65602";"488";"Naviazané potápavé pelety SPORTS Kaprí sen Nuggets";"3,06";"1";"3,06";"1,82";"23";"1";"3,06";;
"65603";"488";"Naviazané potápavé pelety SPORTS Kaprí sen Nuggets";"2,99";"1";"2,99";"1,87";"23";"1";"2,99";;
